stimulus_name,aoi_x_min,aoi_y_min,aoi_x_max,aoi_y_max,aoi_type,aoi_location,finished?,noun,noun_type,frequency,speaker,gaze,noise,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames
gr_sa_pifo_nonoise_look,584,0,2427,1037,movie,center_face,yes,pifo,novel,none,gr,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20
Novel17_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel19_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_pifo_nonoise_hey,584,0,2427,1037,movie,center_face,yes,pifo,novel,none,gr,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20
Novel17_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel12_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_pifo_nonoise_look,584,0,2427,1037,movie,center_face,yes,pifo,novel,none,gr,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20
Novel18_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel22_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_bosa_nonoise_look,584,0,2427,1037,movie,center_face,yes,bosa,novel,none,gr,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22
Novel28_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel17_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_pifo_nonoise_hey,584,0,2427,1037,movie,center_face,yes,pifo,novel,none,gr,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20
Novel22_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel3_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_bosa_nonoise_look,584,0,2427,1037,movie,center_face,yes,bosa,novel,none,gr,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22
Novel21_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel22_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_bosa_nonoise_look,584,0,2427,1037,movie,center_face,yes,bosa,novel,none,gr,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22
Novel17_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel20_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr_sa_pifo_nonoise_hey,584,0,2427,1037,movie,center_face,yes,pifo,novel,none,gr,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20
Novel25_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel12_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ol_sa_toma_nonoise_hey,645,0,2365,899,movie,center_face,yes,toma,novel,none,ol,straight_ahead,no_noise,hey,2,25,4,1,5,7,5,22,5,22,NA,NA,NA,NA,0,7,22
great_job_gr,614,0,2458,1037,movie,center_face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel19_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel2_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ol_dr_modi_nonoise_look,676,0,2396,899,movie,center_face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bottle3,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cookiechipsR,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ol_sa_bottle_nonoise_look,645,0,2365,899,movie,center_face,yes,bottle,familiar,high,ol,straight_ahead,no_noise,look,3,1,4,11,5,1,5,16,5,16,NA,NA,NA,NA,0,7,16
Novel25_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel7_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ol_sa_toma_nonoise_look,645,0,2365,899,movie,center_face,yes,toma,novel,none,ol,straight_ahead,no_noise,look,3,1,4,8,5,0,5,19,5,19,NA,NA,NA,NA,0,7,18
Novel9_dark,0,1296,768,1728,image,left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel25_dark,2304,1296,3072,1728,image,right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
