## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\speed-acc-novel-child-gaze-order2\SAN-072618-02-[d013980c-22a6-4f1d-81f2-ff6a1ed084ad]\SAN-072618-02-eye_data.idf
## Date:	26.07.2018 13:45:56
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9636                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SAN-072618-02                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
19785906478	MSG	1	# Message: cc3bd7c5c8d457694031c7630357751f.avi
19785930385	SMP	1	1580.74	576.17	1296.47	571.09	33.99	33.99	5.18	29.71	29.71	5.17	1576.81	577.27	1589.76	577.16	1297.96	568.95	1309.80	569.01	1288.33	1025.39	0.00	0.00	0	1	1	2	-1	-1	-38.67	29.41	508.79	6.57	31.63	523.53	0.15	-0.02	-0.99	0.24	-0.13	-0.96	0	 -1	
19785963882	SMP	1	1581.41	577.09	1297.60	569.82	33.84	33.84	5.18	32.90	32.90	5.17	1577.38	578.17	1590.46	578.01	1298.19	570.12	1310.26	569.97	1286.66	1027.29	1283.32	1095.15	0	1	1	2	-1	-1	-38.73	29.24	508.20	6.52	31.45	523.46	0.15	-0.02	-0.99	0.21	-0.05	-0.98	0	 -1	
19785997044	SMP	1	1582.13	577.50	1298.13	570.26	33.98	33.98	5.18	33.34	33.34	5.18	1578.11	578.76	1591.09	578.58	1298.62	570.88	1310.61	570.73	1284.78	1023.64	1277.48	1080.86	0	1	1	2	-1	-1	-38.82	29.13	507.95	6.46	31.35	523.93	0.15	-0.02	-0.99	0.21	-0.04	-0.98	0	 -1	
19786030447	SMP	1	1582.67	577.90	1298.60	570.82	33.90	33.90	5.18	33.45	33.45	5.20	1578.55	578.99	1591.72	578.87	1299.15	571.33	1311.22	571.22	1283.61	1024.82	1278.57	1079.50	0	1	1	2	-1	-1	-38.84	29.04	507.09	6.36	31.28	524.00	0.15	-0.02	-0.99	0.21	-0.04	-0.98	0	 -1	
19786063708	SMP	1	1583.31	578.09	1299.41	570.97	33.98	33.98	5.18	33.28	33.28	5.21	1579.41	579.20	1592.40	579.08	1300.33	571.72	1311.89	571.55	1285.13	1024.96	1282.87	1072.57	0	1	1	2	-1	-1	-38.96	29.00	507.06	6.25	31.40	526.99	0.16	-0.02	-0.99	0.22	-0.04	-0.98	0	 -1	
19786097078	SMP	1	1584.35	578.24	1300.47	571.00	33.81	33.81	5.18	33.28	33.28	5.22	1580.04	579.36	1593.31	579.28	1300.88	571.92	1312.89	571.76	1281.62	1024.90	1278.96	1064.47	0	1	1	2	-1	-1	-38.98	28.90	505.77	6.10	31.26	525.24	0.15	-0.02	-0.99	0.21	-0.03	-0.98	0	 -1	
19786130346	SMP	1	1585.39	578.23	1301.46	571.49	34.04	34.04	5.18	33.22	33.22	5.22	1581.08	579.51	1594.37	579.43	1302.11	572.08	1314.10	571.88	1279.16	1022.88	1281.26	1069.48	0	1	1	2	-1	-1	-39.08	28.82	504.86	5.90	31.26	525.61	0.15	-0.02	-0.99	0.21	-0.04	-0.98	0	 -1	
19786163850	SMP	1	1586.57	578.52	1303.00	571.44	33.49	33.49	5.16	33.06	33.06	5.22	1582.19	579.60	1595.62	579.59	1303.47	572.11	1315.48	571.91	1277.03	1023.58	1279.67	1067.99	0	1	1	2	-1	-1	-39.15	28.72	503.35	5.67	31.27	525.86	0.15	-0.02	-0.99	0.21	-0.04	-0.98	0	 -1	
19786197016	SMP	1	1587.99	578.63	1304.39	571.57	33.30	33.30	5.14	33.06	33.06	5.22	1583.73	579.74	1596.90	579.75	1304.96	572.16	1316.92	571.94	1275.33	1023.50	1280.19	1069.48	0	1	1	2	-1	-1	-39.41	28.72	503.78	5.43	31.29	526.29	0.15	-0.02	-0.99	0.21	-0.04	-0.98	0	 -1	
19786230386	SMP	1	1583.66	579.41	1301.53	572.15	32.97	32.97	5.11	32.56	32.56	5.21	1581.99	580.42	1595.15	580.26	1304.36	572.30	1316.05	572.07	1474.43	1024.88	1459.17	1078.73	0	1	1	2	-1	-1	-39.10	28.60	503.38	5.57	31.37	528.04	0.23	-0.02	-0.97	0.29	-0.06	-0.96	0	 -1	
19786263680	SMP	1	1580.55	579.72	1298.95	572.56	32.62	32.62	5.09	32.11	32.11	5.20	1580.82	580.97	1593.63	580.64	1303.54	572.43	1314.87	572.21	1623.64	1024.08	1603.52	1092.12	0	1	1	2	-1	-1	-38.99	28.60	504.65	5.79	31.60	532.37	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786297044	SMP	1	1581.33	579.83	1299.81	572.33	32.26	32.26	5.05	31.63	31.63	5.17	1581.73	581.19	1594.57	580.89	1304.29	572.56	1315.75	572.32	1629.11	1022.35	1600.98	1084.09	0	1	1	2	-1	-1	-39.14	28.57	504.75	5.65	31.59	532.45	0.29	-0.01	-0.96	0.34	-0.05	-0.94	0	 -1	
19786330340	SMP	1	1581.91	580.14	1300.55	572.52	32.12	32.12	5.02	31.66	31.66	5.15	1582.33	581.17	1595.18	580.92	1304.87	572.52	1316.49	572.35	1632.16	1024.00	1597.32	1092.55	0	1	1	2	-1	-1	-39.25	28.57	504.89	5.53	31.55	531.85	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786363707	SMP	1	1582.36	579.95	1301.11	572.44	31.92	31.92	4.99	31.39	31.39	5.13	1582.97	581.09	1595.82	580.78	1305.45	572.35	1316.94	572.22	1638.48	1024.84	1596.20	1099.88	0	1	1	2	-1	-1	-39.37	28.60	505.08	5.47	31.70	533.84	0.30	-0.02	-0.95	0.34	-0.06	-0.94	0	 -1	
19786397010	SMP	1	1583.12	580.15	1301.59	572.28	31.63	31.63	4.96	31.53	31.53	5.12	1583.41	581.04	1596.38	580.81	1305.87	572.30	1317.37	572.18	1635.50	1027.78	1594.68	1099.85	0	1	1	2	-1	-1	-39.42	28.59	504.81	5.40	31.74	534.48	0.29	-0.03	-0.96	0.34	-0.06	-0.94	0	 -1	
19786430373	SMP	1	1583.35	580.01	1301.84	572.35	31.61	31.61	4.93	31.14	31.14	5.10	1583.87	581.06	1596.74	580.90	1306.23	572.25	1317.75	572.17	1638.11	1027.33	1596.13	1106.00	0	1	1	2	-1	-1	-39.53	28.61	505.38	5.34	31.77	534.94	0.30	-0.02	-0.95	0.34	-0.06	-0.94	0	 -1	
19786463675	SMP	1	1583.41	579.95	1302.03	572.19	31.52	31.52	4.91	30.96	30.96	5.08	1584.04	581.08	1596.79	580.84	1306.34	572.16	1317.88	572.06	1640.40	1027.50	1596.00	1107.03	0	1	1	2	-1	-1	-39.62	28.66	506.19	5.33	31.81	535.30	0.30	-0.02	-0.95	0.34	-0.06	-0.94	0	 -1	
19786497040	SMP	1	1583.25	580.12	1301.95	572.29	31.03	31.03	4.88	30.88	30.88	5.06	1583.62	581.14	1596.62	580.99	1306.16	572.17	1317.75	572.10	1639.01	1029.65	1595.21	1111.27	0	1	1	2	-1	-1	-39.52	28.61	505.61	5.35	31.82	535.47	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786530302	SMP	1	1583.07	580.38	1301.62	572.53	31.33	31.33	4.86	30.86	30.86	5.04	1583.31	581.44	1596.12	581.28	1305.83	572.42	1317.32	572.46	1635.27	1030.10	1594.33	1112.68	0	1	1	2	-1	-1	-39.52	28.61	506.46	5.43	31.82	536.38	0.29	-0.02	-0.96	0.33	-0.06	-0.94	0	 -1	
19786563673	SMP	1	1582.50	580.97	1300.71	573.17	31.01	31.01	4.83	30.42	30.42	5.02	1582.61	582.01	1595.65	581.78	1305.28	573.06	1316.72	573.02	1632.51	1031.52	1598.06	1115.17	0	1	1	2	-1	-1	-39.39	28.50	505.94	5.53	31.76	537.03	0.29	-0.02	-0.96	0.35	-0.06	-0.94	0	 -1	
19786596976	SMP	1	1581.75	581.80	1300.35	574.05	30.76	30.76	4.81	30.29	30.29	4.99	1581.79	582.63	1594.94	582.57	1304.70	573.81	1316.18	573.79	1629.76	1033.68	1597.73	1117.69	0	1	1	2	-1	-1	-39.23	28.36	505.44	5.63	31.64	537.20	0.29	-0.03	-0.96	0.34	-0.06	-0.94	0	 -1	
19786630348	SMP	1	1580.90	582.38	1299.53	574.52	30.75	30.75	4.79	30.51	30.51	4.98	1581.39	583.45	1594.08	583.29	1304.01	574.52	1315.43	574.49	1633.21	1033.55	1599.37	1115.60	0	1	1	2	-1	-1	-39.26	28.33	507.14	5.76	31.55	537.80	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786663649	SMP	1	1580.08	582.75	1298.98	575.20	30.59	30.59	4.77	30.23	30.23	4.96	1580.54	583.84	1593.33	583.69	1303.33	575.03	1314.80	575.01	1633.37	1034.77	1599.52	1118.19	0	1	1	2	-1	-1	-39.14	28.27	507.27	5.87	31.48	538.01	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786696999	SMP	1	1579.62	583.01	1298.47	575.35	30.88	30.88	4.76	30.16	30.16	4.95	1579.79	584.06	1592.77	583.95	1302.81	575.32	1314.29	575.26	1629.09	1034.57	1600.76	1117.95	0	1	1	2	-1	-1	-39.01	28.22	506.98	5.96	31.45	538.27	0.29	-0.02	-0.96	0.34	-0.06	-0.94	0	 -1	
19786730304	SMP	1	1581.67	582.46	1300.13	575.09	30.48	30.48	4.74	29.89	29.89	4.93	1580.64	583.67	1593.58	583.65	1303.58	575.14	1315.13	575.15	1520.41	1032.86	1574.34	1116.50	0	1	1	2	-1	-1	-39.16	28.28	507.11	5.83	31.47	538.33	0.25	-0.01	-0.97	0.31	-0.05	-0.95	0	 -1	
19786763658	SMP	1	1595.74	580.87	1314.61	573.40	30.60	30.60	4.73	30.38	30.38	4.92	1587.64	582.94	1600.33	582.85	1311.58	574.39	1323.68	574.44	935.83	1006.73	1009.39	1079.49	0	1	1	2	-1	-1	-40.33	28.45	507.96	4.39	31.45	535.79	0.02	0.01	-1.00	0.10	-0.02	-1.00	0	 -1	
19786796968	SMP	1	1606.46	581.19	1326.28	573.22	29.83	29.83	4.70	30.66	30.66	4.91	1593.69	582.75	1606.18	582.96	1318.28	574.53	1330.57	574.38	564.73	1019.01	614.14	1051.73	0	1	1	2	-1	-1	-41.38	28.52	509.08	3.21	31.16	531.05	-0.14	0.00	-0.99	-0.07	-0.02	-1.00	0	 -1	
19786830341	SMP	1	1608.61	581.37	1327.85	572.85	29.44	29.44	4.67	30.48	30.48	4.90	1595.35	582.92	1607.86	583.19	1319.36	574.18	1331.67	574.07	540.01	1014.02	592.29	1042.64	0	1	1	2	-1	-1	-41.71	28.53	509.77	3.01	31.04	527.98	-0.15	0.00	-0.99	-0.09	-0.02	-1.00	0	 -1	
19786863650	SMP	1	1610.08	581.55	1328.96	572.28	29.74	29.74	4.65	30.59	30.59	4.89	1596.86	582.98	1609.32	583.25	1320.65	573.73	1332.88	573.54	533.73	1014.41	593.55	1034.69	0	1	1	2	-1	-1	-42.03	28.57	510.80	2.80	31.09	527.41	-0.15	0.00	-0.99	-0.08	-0.01	-1.00	0	 -1	
19786896994	SMP	1	1611.24	581.63	1330.14	571.97	29.82	29.82	4.64	30.52	30.52	4.88	1598.32	583.27	1610.75	583.36	1321.77	573.31	1334.06	573.16	540.43	1007.08	592.49	1035.24	0	1	1	2	-1	-1	-42.34	28.59	511.68	2.60	31.03	525.38	-0.14	0.00	-0.99	-0.08	-0.02	-1.00	0	 -1	
19786930277	SMP	1	1612.47	581.60	1331.19	571.39	29.66	29.66	4.63	30.50	30.50	4.86	1599.38	582.95	1611.86	583.19	1322.70	572.78	1334.96	572.64	536.71	1010.50	589.28	1032.19	0	1	1	2	-1	-1	-42.55	28.65	512.11	2.44	31.07	524.56	-0.15	-0.01	-0.99	-0.08	-0.01	-1.00	0	 -1	
19786963662	SMP	1	1613.60	581.12	1332.14	570.89	29.67	29.67	4.62	30.59	30.59	4.85	1600.51	582.66	1612.99	582.93	1323.57	572.23	1335.91	572.12	535.79	1003.20	587.36	1032.22	0	1	1	2	-1	-1	-42.78	28.73	512.75	2.28	31.07	523.03	-0.15	0.00	-0.99	-0.09	-0.02	-1.00	0	 -1	
19786996930	SMP	1	1614.73	581.03	1333.03	570.51	29.77	29.77	4.62	30.83	30.83	4.85	1601.66	582.55	1614.05	582.83	1324.50	571.90	1336.88	571.75	534.01	1000.90	587.47	1030.42	0	1	1	2	-1	-1	-43.05	28.81	513.74	2.12	31.07	522.03	-0.15	0.00	-0.99	-0.08	-0.01	-1.00	0	 -1	
19787030299	SMP	1	1615.86	581.25	1334.17	570.58	29.91	29.91	4.62	30.75	30.75	4.84	1602.77	582.66	1615.19	582.95	1325.59	571.87	1337.90	571.72	532.82	1000.60	585.82	1031.50	0	1	1	2	-1	-1	-43.27	28.81	514.18	1.94	31.06	521.78	-0.15	0.00	-0.99	-0.09	-0.02	-1.00	0	 -1	
19787063620	SMP	1	1621.30	583.55	1340.63	572.87	29.81	29.81	4.63	30.49	30.49	4.83	1606.38	584.02	1618.20	584.08	1329.68	573.59	1341.98	573.47	337.96	1050.19	384.21	1051.62	0	1	1	2	-1	-1	-44.24	28.89	519.25	1.27	30.76	521.50	-0.22	-0.04	-0.97	-0.16	-0.04	-0.99	0	 -1	
19787096949	SMP	1	1623.78	584.15	1343.18	573.18	29.57	29.57	4.64	30.43	30.43	4.82	1608.59	584.64	1620.31	584.80	1331.62	573.90	1344.02	573.85	315.31	1056.49	355.88	1049.28	0	1	1	2	-1	-1	-44.94	29.00	523.27	0.94	30.65	520.70	-0.23	-0.03	-0.97	-0.18	-0.03	-0.98	0	 -1	
19787130254	SMP	1	1625.12	584.59	1344.50	573.55	30.00	30.00	4.65	30.76	30.76	4.82	1610.08	585.24	1621.96	585.28	1332.99	574.20	1345.30	574.07	321.31	1053.32	349.77	1061.66	0	1	1	2	-1	-1	-45.13	28.87	522.43	0.72	30.61	520.68	-0.23	-0.03	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787163642	SMP	1	1626.70	585.35	1345.88	574.09	30.16	30.16	4.67	30.59	30.59	4.81	1611.62	585.88	1623.36	585.91	1334.37	574.64	1346.63	574.51	314.27	1065.62	346.18	1073.19	0	1	1	2	-1	-1	-45.68	28.96	525.92	0.50	30.54	520.69	-0.23	-0.04	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787196919	SMP	1	1627.99	586.25	1346.94	574.60	30.29	30.29	4.70	31.39	31.39	4.83	1612.92	586.53	1624.76	586.69	1335.53	575.22	1347.85	575.16	313.80	1077.00	348.49	1073.78	0	1	1	2	-1	-1	-45.87	28.81	525.53	0.30	30.42	520.37	-0.23	-0.04	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787230289	SMP	1	1629.37	586.56	1348.18	575.10	30.37	30.37	4.72	30.61	30.61	4.82	1614.15	587.08	1625.98	587.12	1336.71	575.70	1348.96	575.62	308.85	1073.73	346.30	1078.40	0	1	1	2	-1	-1	-46.14	28.78	526.35	0.11	30.34	520.38	-0.23	-0.03	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787263584	SMP	1	1630.16	587.03	1349.07	575.38	30.47	30.47	4.74	31.02	31.02	4.82	1615.11	587.45	1626.96	587.53	1337.58	575.92	1349.93	575.82	310.26	1077.49	346.22	1083.49	0	1	1	2	-1	-1	-46.34	28.73	526.69	-0.04	30.29	520.10	-0.23	-0.04	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787296951	SMP	1	1631.22	587.26	1349.95	575.61	30.68	30.68	4.76	31.19	31.19	4.83	1615.96	587.78	1627.93	587.85	1338.48	576.10	1350.86	576.05	307.34	1076.80	346.52	1086.79	0	1	1	2	-1	-1	-46.44	28.65	526.17	-0.19	30.24	519.86	-0.23	-0.03	-0.97	-0.18	-0.04	-0.98	0	 -1	
19787330228	SMP	1	1632.13	587.33	1350.62	575.60	30.88	30.88	4.79	31.26	31.26	4.84	1616.91	587.88	1628.84	587.98	1339.35	576.30	1351.77	576.18	306.14	1076.30	351.15	1085.67	0	1	1	2	-1	-1	-46.66	28.67	526.89	-0.34	30.20	519.64	-0.23	-0.03	-0.97	-0.17	-0.04	-0.98	0	 -1	
19787363583	SMP	1	1632.02	588.76	1350.95	576.89	30.89	30.89	4.81	31.62	31.62	4.86	1616.88	588.73	1629.06	588.84	1339.99	577.19	1352.25	577.15	308.92	1086.81	357.88	1092.29	0	1	1	2	-1	-1	-46.53	28.44	525.31	-0.43	30.06	519.79	-0.22	-0.05	-0.97	-0.16	-0.05	-0.99	0	 -1	
19787396882	SMP	1	1632.64	588.93	1351.48	577.26	30.90	30.90	4.82	31.62	31.62	4.87	1617.60	588.87	1629.79	588.95	1340.46	577.29	1352.89	577.20	311.67	1093.24	361.16	1101.51	0	1	1	2	-1	-1	-46.64	28.41	525.16	-0.52	30.03	519.49	-0.22	-0.05	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787430251	SMP	1	1633.42	588.85	1351.99	577.13	31.08	31.08	4.84	31.73	31.73	4.89	1618.35	588.79	1630.40	588.84	1341.08	577.24	1353.33	577.16	309.10	1098.91	362.13	1104.91	0	1	1	2	-1	-1	-46.84	28.48	526.11	-0.61	30.04	519.67	-0.22	-0.05	-0.97	-0.16	-0.05	-0.99	0	 -1	
19787463562	SMP	1	1634.03	588.83	1352.45	577.13	31.37	31.37	4.86	31.95	31.95	4.90	1618.86	588.68	1631.08	588.76	1341.50	577.18	1353.87	577.08	310.46	1106.39	366.51	1111.19	0	1	1	2	-1	-1	-46.86	28.44	525.19	-0.69	30.05	519.49	-0.22	-0.06	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787496934	SMP	1	1634.44	588.74	1353.09	576.91	31.36	31.36	4.88	31.71	31.71	4.91	1619.43	588.75	1631.51	588.81	1341.92	577.03	1354.29	577.01	311.38	1105.32	364.48	1112.31	0	1	1	2	-1	-1	-46.99	28.47	525.76	-0.76	30.06	519.44	-0.22	-0.05	-0.97	-0.17	-0.05	-0.98	0	 -1	
19787530222	SMP	1	1634.92	588.91	1353.13	576.91	31.50	31.50	4.90	32.12	32.12	4.93	1619.80	588.81	1631.93	588.91	1342.24	576.88	1354.60	576.83	311.99	1110.93	372.41	1119.25	0	1	1	2	-1	-1	-47.03	28.44	525.48	-0.81	30.09	519.40	-0.22	-0.05	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787563582	SMP	1	1635.21	588.83	1353.35	576.59	31.65	31.65	4.92	32.24	32.24	4.95	1620.03	588.50	1632.25	588.72	1342.36	576.68	1354.75	576.65	312.55	1118.44	374.00	1119.42	0	1	1	2	-1	-1	-47.03	28.45	524.94	-0.83	30.11	519.26	-0.22	-0.06	-0.97	-0.16	-0.05	-0.99	0	 -1	
19787596875	SMP	1	1635.41	588.33	1353.30	576.14	31.65	31.65	4.94	32.07	32.07	4.96	1620.32	588.14	1632.46	588.33	1342.34	576.48	1354.73	576.41	314.99	1118.73	377.33	1116.75	0	1	1	2	-1	-1	-47.05	28.50	524.76	-0.83	30.14	519.13	-0.22	-0.06	-0.97	-0.16	-0.05	-0.99	0	 -1	
19787630244	SMP	1	1635.15	588.12	1352.97	576.30	31.72	31.72	4.95	32.22	32.22	4.97	1620.22	588.04	1632.34	588.10	1342.08	576.24	1354.45	576.17	318.27	1120.38	380.00	1125.42	0	1	1	2	-1	-1	-47.01	28.51	524.42	-0.78	30.18	519.12	-0.22	-0.05	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787663546	SMP	1	1634.95	588.19	1352.46	576.38	31.85	31.85	4.96	32.11	32.11	4.98	1619.80	587.95	1632.02	588.08	1341.53	576.27	1353.90	576.20	319.12	1124.17	381.73	1129.24	0	1	1	2	-1	-1	-46.89	28.49	523.79	-0.69	30.17	519.04	-0.22	-0.06	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787696923	SMP	1	1634.47	588.09	1351.92	576.29	31.63	31.63	4.97	32.10	32.10	4.98	1619.35	587.99	1631.45	588.02	1340.89	576.31	1353.28	576.24	320.58	1125.22	382.26	1130.09	0	1	1	2	-1	-1	-46.80	28.48	523.74	-0.59	30.15	518.92	-0.22	-0.06	-0.97	-0.16	-0.06	-0.99	0	 -1	
19787730177	SMP	1	1633.78	587.96	1351.32	576.17	31.86	31.86	4.98	31.98	31.98	4.98	1618.59	587.91	1630.89	588.01	1340.16	576.30	1352.58	576.23	321.45	1124.83	380.79	1130.21	0	1	1	2	-1	-1	-46.62	28.45	522.98	-0.47	30.14	518.76	-0.22	-0.05	-0.97	-0.16	-0.05	-0.98	0	 -1	
19787763538	SMP	1	1633.23	587.54	1350.77	575.88	32.02	32.02	4.99	32.26	32.26	4.99	1617.93	587.71	1630.21	587.81	1339.59	576.17	1352.02	575.99	320.52	1121.48	379.42	1127.90	0	1	1	2	-1	-1	-46.47	28.46	522.54	-0.38	30.16	518.57	-0.23	-0.05	-0.97	-0.17	-0.05	-0.98	0	 -1	
19787796845	SMP	1	1632.52	587.65	1350.06	576.22	31.71	31.71	4.99	32.23	32.23	4.99	1617.36	587.79	1629.51	587.84	1338.90	576.24	1351.32	576.15	321.27	1119.51	377.86	1129.74	0	1	1	2	-1	-1	-46.36	28.45	522.49	-0.26	30.14	518.46	-0.22	-0.05	-0.97	-0.17	-0.06	-0.98	0	 -1	
19787830207	SMP	1	1631.90	587.58	1349.36	576.16	31.74	31.74	4.99	32.39	32.39	5.00	1616.76	587.80	1628.93	587.85	1338.20	576.31	1350.56	576.26	322.29	1115.77	376.20	1127.80	0	1	1	2	-1	-1	-46.25	28.44	522.32	-0.15	30.13	518.49	-0.22	-0.04	-0.97	-0.17	-0.05	-0.98	0	 -1	
19787863512	SMP	1	1631.31	587.48	1348.55	576.10	31.65	31.65	4.99	32.09	32.09	5.00	1615.99	587.76	1628.25	587.81	1337.45	576.48	1349.96	576.45	321.43	1112.21	377.81	1123.62	0	1	1	2	-1	-1	-46.10	28.42	521.95	-0.03	30.08	518.23	-0.23	-0.04	-0.97	-0.16	-0.04	-0.99	0	 -1	
19787896870	SMP	1	1630.65	587.62	1348.04	576.07	31.83	31.83	4.99	32.02	32.02	5.00	1615.50	587.80	1627.60	587.83	1336.85	576.33	1349.22	576.23	322.10	1111.29	375.31	1123.15	0	1	1	2	-1	-1	-46.02	28.43	522.16	0.08	30.11	518.22	-0.22	-0.05	-0.97	-0.17	-0.05	-0.98	0	 -1	
19787930174	SMP	1	1629.91	587.40	1347.32	576.29	31.86	31.86	5.00	32.04	32.04	5.00	1614.81	587.80	1627.05	587.84	1336.23	576.39	1348.70	576.36	324.07	1104.40	375.33	1124.02	0	1	1	2	-1	-1	-45.90	28.42	521.98	0.17	30.09	518.05	-0.22	-0.04	-0.97	-0.16	-0.05	-0.99	0	 -1	
19787963541	SMP	1	1629.36	587.46	1346.84	576.52	31.74	31.74	5.00	31.81	31.81	4.99	1614.24	587.80	1626.36	587.82	1335.62	576.65	1348.04	576.53	324.36	1102.12	373.14	1125.43	0	1	1	2	-1	-1	-45.80	28.43	522.05	0.27	30.04	517.92	-0.22	-0.04	-0.97	-0.17	-0.05	-0.98	0	 -1	
19787996968	SMP	1	1628.52	587.58	1346.25	576.46	31.64	31.64	4.99	31.71	31.71	4.98	1613.45	587.77	1625.67	587.84	1335.05	576.81	1347.35	576.65	324.93	1101.58	371.11	1121.72	0	1	1	2	-1	-1	-45.67	28.42	521.94	0.38	30.03	518.12	-0.22	-0.05	-0.97	-0.17	-0.05	-0.98	0	 -1	
19788030255	SMP	1	1627.87	587.47	1345.42	576.80	31.94	31.94	5.00	31.83	31.83	4.97	1612.75	587.72	1624.96	587.74	1334.26	576.83	1346.70	576.72	325.78	1099.17	370.31	1123.11	0	1	1	2	-1	-1	-45.55	28.43	521.84	0.50	30.02	518.00	-0.22	-0.04	-0.97	-0.17	-0.06	-0.98	0	 -1	
19788063547	SMP	1	1627.29	587.41	1344.82	576.70	31.98	31.98	5.00	31.96	31.96	4.97	1612.02	587.60	1624.27	587.66	1333.67	576.85	1345.60	576.75	325.36	1097.69	366.88	1121.92	0	1	1	2	-1	-1	-45.41	28.43	521.68	0.64	30.10	519.54	-0.23	-0.05	-0.97	-0.18	-0.05	-0.98	0	 -1	
19788096934	SMP	1	1626.64	587.50	1344.33	576.63	31.91	31.91	5.01	32.15	32.15	4.98	1611.50	587.48	1623.81	587.63	1333.22	576.87	1345.64	576.84	326.67	1098.17	368.53	1120.46	0	1	1	2	-1	-1	-45.32	28.43	521.47	0.67	30.03	518.47	-0.22	-0.05	-0.97	-0.17	-0.05	-0.98	0	 -1	
19788130139	SMP	1	1626.47	587.60	1344.10	576.85	31.79	31.79	5.00	31.78	31.78	4.97	1611.34	587.69	1623.41	587.74	1333.00	576.96	1345.34	576.85	326.85	1098.97	368.55	1122.33	0	1	1	2	-1	-1	-45.30	28.43	521.79	0.71	30.04	518.70	-0.23	-0.05	-0.97	-0.17	-0.06	-0.98	0	 -1	
19788163533	SMP	1	1626.27	587.49	1344.19	576.86	31.81	31.81	5.00	31.82	31.82	4.97	1611.01	587.70	1623.35	587.80	1332.99	576.99	1345.33	576.95	327.10	1097.93	367.63	1121.32	0	1	1	2	-1	-1	-45.23	28.40	521.33	0.71	30.03	518.79	-0.23	-0.04	-0.97	-0.17	-0.05	-0.98	0	 -1	
19788196819	SMP	1	1626.24	587.64	1344.41	576.95	31.95	31.95	5.01	32.01	32.01	4.97	1611.21	587.76	1623.33	587.81	1333.13	577.01	1345.40	576.89	328.23	1099.13	365.34	1122.88	0	1	1	2	-1	-1	-45.27	28.41	521.64	0.70	30.05	519.11	-0.22	-0.05	-0.97	-0.17	-0.06	-0.98	0	 -1	
19788230166	SMP	1	1626.24	587.50	1344.36	576.76	31.85	31.85	5.01	31.67	31.67	4.97	1611.26	587.76	1623.38	587.83	1333.21	576.93	1345.60	576.81	330.36	1098.58	365.57	1123.90	0	1	1	2	-1	-1	-45.29	28.41	521.76	0.67	30.06	518.95	-0.22	-0.04	-0.97	-0.17	-0.05	-0.98	0	 -1	
